variable_1,variable_2,pearson_correlation,spearman_correlation,absolute_pearson,absolute_spearman
bank_deposits,checking_accounts,0.8442778630738238,0.879680551188774,0.8442778630738238,0.879680551188774
bank_deposits,saving_accounts,0.7547444161002917,0.8235754557975747,0.7547444161002917,0.8235754557975747
checking_accounts,saving_accounts,0.4595089390728744,0.6408354945969021,0.4595089390728744,0.6408354945969021
bank_deposits,business_lending,0.4412981755991812,0.4179649638578413,0.4412981755991812,0.4179649638578413
estimated_income,superannuation_savings,0.374801964591013,0.36953265940458413,0.374801964591013,0.36953265940458413
bank_loans,business_lending,0.41709540133011147,0.36227118314082213,0.41709540133011147,0.36227118314082213
bank_deposits,foreign_currency_account,0.40634741829317406,0.35943880532962685,0.40634741829317406,0.35943880532962685
bank_loans,bank_deposits,0.3731545955340351,0.35611860665730805,0.3731545955340351,0.35611860665730805
credit_card_balance,bank_deposits,0.3838771621169243,0.3547260466475299,0.3838771621169243,0.3547260466475299
foreign_currency_account,business_lending,0.36974891626441403,0.34041844258987086,0.36974891626441403,0.34041844258987086
estimated_income,business_lending,0.32853082226390035,0.3284948197733296,0.32853082226390035,0.3284948197733296
checking_accounts,business_lending,0.35590427714196976,0.32433849263428993,0.35590427714196976,0.32433849263428993
bank_loans,foreign_currency_account,0.36439125317325627,0.3242639496530118,0.36439125317325627,0.3242639496530118
credit_card_balance,bank_loans,0.3695090366080178,0.30407506508283716,0.3695090366080178,0.30407506508283716
estimated_income,bank_loans,0.32992632025805574,0.30368294409468144,0.32992632025805574,0.30368294409468144
saving_accounts,business_lending,0.30754963155667436,0.3009871616553237,0.30754963155667436,0.3009871616553237
estimated_income,checking_accounts,0.2914115595747654,0.2964668465381181,0.2914115595747654,0.2964668465381181
credit_card_balance,business_lending,0.3510631694948602,0.29569435215756257,0.3510631694948602,0.29569435215756257
credit_card_balance,foreign_currency_account,0.35771968426814865,0.29394110101298504,0.35771968426814865,0.29394110101298504
estimated_income,foreign_currency_account,0.3069985179028632,0.2747982971998108,0.3069985179028632,0.2747982971998108
estimated_income,saving_accounts,0.261299283361487,0.274579049077731,0.261299283361487,0.274579049077731
checking_accounts,foreign_currency_account,0.3126506032721332,0.27374167437573166,0.3126506032721332,0.27374167437573166
bank_loans,checking_accounts,0.29208245786758724,0.2732082954067039,0.29208245786758724,0.2732082954067039
credit_card_balance,checking_accounts,0.29867209759558744,0.2718528746908886,0.29867209759558744,0.2718528746908886
saving_accounts,foreign_currency_account,0.31146469385410225,0.27042587159598275,0.31146469385410225,0.27042587159598275
estimated_income,credit_card_balance,0.29852661242553113,0.2691436551355811,0.29852661242553113,0.2691436551355811
estimated_income,bank_deposits,0.26033216733516634,0.2615945910813125,0.26033216733516634,0.2615945910813125
bank_loans,saving_accounts,0.26888168929458117,0.25343991363632173,0.26888168929458117,0.25343991363632173
credit_card_balance,saving_accounts,0.28469632194503997,0.2506355595609372,0.28469632194503997,0.2506355595609372
superannuation_savings,business_lending,0.2649194746262091,0.24033198515600412,0.2649194746262091,0.24033198515600412
superannuation_savings,bank_loans,0.2414567253385432,0.22336142022077904,0.2414567253385432,0.22336142022077904
superannuation_savings,foreign_currency_account,0.228103075917079,0.21151489179438182,0.228103075917079,0.21151489179438182
superannuation_savings,checking_accounts,0.19818785776967998,0.19284634395607364,0.19818785776967998,0.19284634395607364
superannuation_savings,credit_card_balance,0.22556194003867916,0.18960122099204774,0.22556194003867916,0.18960122099204774
superannuation_savings,bank_deposits,0.17408384446657318,0.154467639991346,0.17408384446657318,0.154467639991346
superannuation_savings,saving_accounts,0.17713173918933114,0.15379963565333507,0.17713173918933114,0.15379963565333507
